region	sub-table	lower_frequency	upper_frequency	category	service	footnotes
gb		40980000	41015000	p	Mobile	UK2, UK31
gb		40980000	41015000	s	Space Research	UK2, UK31
gb		41015000	42000000	p	Mobile	UK2, UK31, UK6
gb		41015000	42000000	p	Fixed	UK2, UK31, UK6
gb		42000000	42500000	p	Mobile	UK2, UK31, UK6
gb		42000000	42500000	p	Fixed	UK2, UK31, UK6
gb		42500000	44000000	p	Mobile	5.160, 5.161, UK2, UK31, UK6
gb		42500000	44000000	p	Fixed	5.160, 5.161, UK2, UK31, UK6
gb		44000000	46400000	p	Mobile	5.162A, UK176, UK2, UK31
gb		46400000	47000000	p	Mobile	5.162A, UK169, UK176, UK2, UK31, UK8
gb		47000000	50000000	p	Land Mobile	5.162A, 5.164, UK1, UK11, UK176, UK27, UK8, UK223
gb		50000000	51000000	p	Amateur	5.162A, 5.164, UK1, UK171, UK176, UK32, UK7, UK223
gb		51000000	52000000	s	Amateur	5.162A, 5.164, UK176, UK2, UK7, UK5.13, UK223
gb		51000000	52000000	p	Land Mobile	5.162A, 5.164, UK176, UK2, UK8, UK5.13, UK223
